Property ID,Property Type,Bedrooms,Bathrooms,Floor Area,Postcode,Published Date,Price,Tenure,Council Tax Band,Parking,Garden,Distance From Nearest Station,Marketed By
141578078,Apartment,2,1,74,E2,2023-09-29,825000,Leasehold,0,False,False,0.1, Savills New Homes
149252660,Flat,3,2,94,E14,2024-06-17,825000,Leasehold,0,False,False,0.2, Foxtons
142013000,Flat,2,1,96,E14,2024-04-10,825000,Leasehold,0,True,True,0.3, JLL
148578914,Apartment,2,2,94,E14,2024-05-31,825000,Leasehold,0,False,True,0.3, Ernest Brooks International
132326495,Apartment,2,2,79,E14,2023-03-07,825000,Leasehold,0,False,False,0.1, Newbrickz
146163107,Apartment,1,1,58,E14,2024-03-26,815000,Leasehold,0,False,True,0.1, Berkeley Capital (East Thames)
149627849,Apartment,2,1,75,E14,2024-06-27,810000,Leasehold,0,False,True,0.4, Ballymore Group
149083001,Apartment,2,2,96,0,2024-06-13,810000,Share of Freehold,G,True,False,0.2, Rubicon Estate Agents Limited
146100845,Flat,2,1,79,E14,2024-03-25,800000,Leasehold,F,True,True,0.2, Hamptons
148111796,Apartment,2,1,96,E1,2024-05-17,800000,Leasehold,F,False,True,0.1, Benham & Reeves - City
149139302,Flat,3,2,87,E14,2024-06-14,800000,Leasehold,F,False,True,0.2, Hamptons
140224976,Flat,3,2,144,0,2023-09-20,800000,Share of Freehold,0,True,False,0.4, Waterview
131556359,Apartment,2,2,72,E14,2023-02-09,800000,Leasehold,G,True,False,0.1, Life Residential
149827007,End of Terrace,4,3,135,E14,2024-07-03,800000,Freehold,F,True,True,0.2, Victorstone
150084950,Penthouse,2,1,96,E1,2024-07-10,800000,Leasehold,E,False,False,0.3, Stirling Ackroyd Sales
147550322,Flat,3,2,121,E1W,2024-05-20,800000,Leasehold,0,False,True,0.2, Foxtons
143974829,Flat,2,2,85,E1W,2024-06-13,800000,Leasehold,0,True,True,0.1, Foxtons
146719910,Terraced,3,1,144,0,2024-04-11,800000,Freehold,0,False,True,0.2, Felicity J Lord
145584692,Apartment,2,2,78,E1,2024-03-11,800000,Leasehold,D,False,True,0.1, Savills
140250359,Flat,2,2,103,E1,2023-10-23,800000,Leasehold,F,True,True,0.3, Hamptons
146575172,Apartment,1,1,57,E14,2024-05-18,800000,Leasehold,E,True,False,0.2, Savills
149259020,Flat,2,2,83,E1,2024-06-17,800000,Leasehold,E,False,False,0.3, The Modern House
148492757,Apartment,1,1,57,E1W,2024-05-29,800000,Leasehold,E,False,True,0.2, Savills
150066068,Apartment,2,2,104,E14,2024-07-09,800000,Leasehold,F,False,False,0.4, Knight Frank
149544938,Apartment,1,1,56,E1W,2024-06-25,800000,Leasehold,E,True,False,0.2, Knight Frank
140930372,Terraced,6,3,288,0,2023-10-16,800000,Freehold,0,False,False,0.4, Oakland Estates
149421989,Apartment,2,2,92,E14,2024-06-21,800000,Share of Freehold,F,True,False,0.3, Knight Frank
146312927,Penthouse,2,1,120,E14,2024-05-13,800000,Leasehold,F,True,False,0.2, Madison Brook
148421900,Semi-Detached,3,2,146,E14,2024-05-25,800000,Share of Freehold,0,True,True,0.2, Foxtons
145156190,Apartment,3,2,86,E1,2024-05-07,800000,Leasehold,C,False,False,0.1, Stirling Ackroyd Sales
86163057,Flat,2,2,67,E1,2024-02-28,800000,Leasehold,0,False,False,0.2, London Property Guru
139795586,Apartment,2,2,80,E1W,2023-09-11,800000,Leasehold,0,True,False,0.2, MY LONDON HOME
141720494,Apartment,1,1,54,E14,2023-11-10,450000,Leasehold,0,False,False,0.1, Ernest Brooks International
143068271,Flat,3,3,110,E14,2023-11-03,800000,Leasehold,0,True,False,0.1, Chestertons
144662426,Flat,2,1,96,E14,2024-02-12,800000,Leasehold,0,True,False,0.1, JLL
144724844,Detached,5,2,240,E1,2024-04-17,800000,Freehold,E,True,True,0.2, Look Property Services Ltd
149049212,Flat,2,2,94,E1W,2024-06-27,800000,Share of Freehold,0,False,False,0.3, Foxtons
132111416,Apartment,1,1,48,E1W,2023-09-07,800000,Leasehold,E,False,True,0.4, JOHNS&CO
149648831,Apartment,2,2,96,E14,2024-06-28,800000,Leasehold,F,False,False,0.2, Stirling Ackroyd Sales
149757860,End of Terrace,2,1,96,E1,2024-07-02,800000,Freehold,D,False,True,0.1, Purplebricks
133846313,Flat,1,1,71,E14,2023-04-24,800000,Leasehold,0,False,True,0.1, Chestertons
148845731,Flat,2,2,96,0,2024-06-06,800000,Share of Freehold,F,True,False,0.2, Rubicon Estate Agents Limited
146390150,Flat,2,1,96,0,2024-04-30,800000,Share of Freehold,0,True,False,0.2, Dexters
86905512,Apartment,2,2,94,E1W,2024-06-27,800000,Leasehold,F,True,False,0.3, Knight Frank
147309755,End of Terrace,3,2,106,E14,2024-04-26,800000,Freehold,0,True,True,0.2, Chestertons
86722047,Duplex,3,2,143,E14,2024-01-09,800000,Share of Freehold,E,True,False,0.2, Franklyn James
147492974,Penthouse,2,2,106,E14,2024-06-14,800000,Leasehold,E,False,True,0.0, Keatons
148689995,Apartment,1,1,57,E1,2024-06-03,800000,Leasehold,0,False,False,0.2, Celestial Globe
148982183,Flat,2,1,100,E2,2024-06-11,800000,Share of Freehold,0,False,False,0.6, W J Meade
146846009,Apartment,2,2,96,E2,2024-06-20,800000,Leasehold,E,False,False,0.4, Chase Evans
136412183,Flat,3,2,144,0,2023-09-12,800000,Share of Freehold,0,True,False,0.4, Dexters
148381664,Flat,2,2,83,E14,2024-07-08,800000,Share of Freehold,G,True,True,0.2, Hamptons
148527632,Flat,2,2,90,E1W,2024-05-29,800000,Leasehold,0,True,True,0.2, Procuro Limited
148052594,Flat,2,2,99,E1W,2024-06-27,800000,Share of Freehold,0,True,False,0.3, Chestertons
148310222,Flat,1,1,57,E1W,2024-05-23,800000,Leasehold,0,False,False,0.2, Foxtons
